*******************************************************************************
JPL/HORIZONS                  4 Vesta (A807 FA)            2024-May-20 08:04:00
Rec #:       4 (+COV) Soln.date: 2021-Apr-13_11:15:57   # obs: 9451 (1950-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702
   A= 2.361908654291772    MA= 163.3754032354997   ADIST= 2.571109077494583
   PER= 3.62997            N= .271524753           ANGMOM= .026333145
   DAN= 2.53982            DDN= 2.17514            L= 254.8345779
   B= 3.4734318            MOID= 1.13987994        TP= 2018-May-09.3038331456
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 17.28824            RAD= 262.7              ROTPER= 5.342128
   H= 3.25                 G= .320                 B-V= .782
                           ALBEDO= .4228           STYP= V

ASTEROID comments: 
1: soln ref.= JPL#36, OCC=0           radar(2977 delay, 0 Dop
2: source=ORB
*******************************************************************************

  

*******************************************************************************
Ephemeris / WWW_USER Mon May 20 08:04:00 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 4 Vesta (A807 FA)               {source: JPL#36}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2200-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar month
*******************************************************************************
Target pole/equ : IAU                             {East-longitude positive}
Target radii    : 289.0, 280.0, 229.0 km          {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240517.p240810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-17. PREDICTS-> 2024-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385        
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456      
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.243605461680222E+00  Y= 2.133870405923554E+00  Z= 6.874866847781977E-01
  VX=-8.779290950353064E-03 VY= 4.462599423343603E-03 VZ= 2.927653651039283E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 17.28824            RAD= 262.7              ROTPER= 5.342128            
   H= 3.25                 G= .320                 B-V= .782                   
                           ALBEDO= .4228           STYP= V                     
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1900-Jan-01 00:00, , ,  41.5137, -6.3796,    0.01087,  148.0260,  349.8383532,
 1900-Feb-01 00:00, , ,  48.7772, -5.9262,    0.01039,  155.2531,  357.0741585,
 1900-Mar-01 00:00, , ,  55.2628, -5.4405,    0.00996,  161.7190,    3.5460775,
 1900-Apr-01 00:00, , ,  62.3791, -4.8271,    0.00948,  168.8266,   10.6603514,
 1900-May-01 00:00, , ,  69.2212, -4.1663,    0.00902,  175.6697,   17.5132297,
 1900-Jun-01 00:00, , ,  76.2662, -3.4229,    0.00854,  182.7262,   24.5820466,
 1900-Jul-01 00:00, , ,  83.0807, -2.6535,    0.00807,  189.5613,   31.4303376,
 1900-Aug-01 00:00, , ,  90.1413, -1.8159,    0.00759,  196.6530,   38.5351301,
 1900-Sep-01 00:00, , ,  97.2445, -0.9446,    0.00709,  203.7978,   45.6894407,
 1900-Oct-01 00:00, , , 104.1816, -0.0792,    0.00662,  210.7803,   52.6800008,
 1900-Nov-01 00:00, , , 111.4388,  0.8271,    0.00612,  218.0851,   59.9933756,
 1900-Dec-01 00:00, , , 118.5707,  1.7047,    0.00563,  225.2591,   67.1772812,
 1901-Jan-01 00:00, , , 126.0765,  2.5986,    0.00512,  232.7968,   74.7308537,
 1901-Feb-01 00:00, , , 133.7443,  3.4647,    0.00459,  240.4835,   82.4367767,
 1901-Mar-01 00:00, , , 140.8285,  4.2089,    0.00410,  247.5740,   89.5440735,
 1901-Apr-01 00:00, , , 148.8664,  4.9736,    0.00353,  255.6034,   97.5925184,
 1901-May-01 00:00, , , 156.8566,  5.6359,    0.00296,  263.5703,  105.5759440,
 1901-Jun-01 00:00, , , 165.3460,  6.2189,    0.00236,  272.0201,  114.0398842,
 1901-Jul-01 00:00, , , 173.7955,  6.6638,    0.00175,  280.4122,  122.4476686,
 1901-Aug-01 00:00, , , 182.7709,  6.9786,    0.00111,  289.3121,  131.3649653,
 1901-Sep-01 00:00, , , 191.9894,  7.1256,    0.00044,  298.4457,  140.5146596,
 1901-Oct-01 00:00, , , 201.1285,  7.0913,   -0.00022,  307.4996,  149.5833447,
 1901-Nov-01 00:00, , , 210.7745,  6.8619,   -0.00092,  317.0664,  159.1604433,
 1901-Dec-01 00:00, , , 220.2749,  6.4475,   -0.00160,  326.5085,  168.6057335,
 1902-Jan-01 00:00, , , 230.2242,  5.8247,   -0.00230,  336.4202,  178.5173773,
 1902-Feb-01 00:00, , , 240.2627,  5.0182,   -0.00300,  346.4477,  188.5433058,
 1902-Mar-01 00:00, , , 249.3663,  4.1519,   -0.00362,  355.5632,  197.6588005,
 1902-Apr-01 00:00, , , 259.4408,  3.0702,   -0.00430,    5.6704,  207.7710494,
 1902-May-01 00:00, , , 269.1436,  1.9365,   -0.00495,   15.4216,  217.5304362,
 1902-Jun-01 00:00, , , 279.0807,  0.7166,   -0.00559,   25.4205,  227.5391501,
 1902-Jul-01 00:00, , , 288.5771, -0.4703,   -0.00618,   34.9818,  237.1090061,
 1902-Aug-01 00:00, , , 298.2367, -1.6638,   -0.00676,   44.7092,  246.8398271,
 1902-Sep-01 00:00, , , 307.7172, -2.7881,   -0.00730,   54.2518,  256.3789887,
 1902-Oct-01 00:00, , , 316.7053, -3.7824,   -0.00778,   63.2911,  265.4063928,
 1902-Nov-01 00:00, , , 325.7892, -4.6910,   -0.00825,   72.4191,  274.5099084,
 1902-Dec-01 00:00, , , 334.3773, -5.4406,   -0.00866,   81.0395,  283.0961567,
 1903-Jan-01 00:00, , , 343.0407, -6.0722,   -0.00906,   89.7269,  291.7379993,
 1903-Feb-01 00:00, , , 351.4927, -6.5547,   -0.00943,   98.1960,  300.1516744,
