*******************************************************************************
JPL/HORIZONS                 433 Eros (A898 PA)            2024-May-20 07:59:48
Rec #:     433 (+COV) Soln.date: 2021-May-24_17:55:05   # obs: 9130 (1893-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453311.5 ! 2004-Nov-02.00 (TDB)         Residual RMS= .3494
   EC= .2228078944584026   QR= 1.133355399799004   TP= 2453371.5859943051
   OM= 304.4010273379536   W=  178.665326776373    IN= 10.8291838260782
   A= 1.458269315549994    MA= 326.37047603642     ADIST= 1.783183231300984
   PER= 1.76102            N= .559689897           ANGMOM= .020250867
   DAN= 1.78304            DDN= 1.13341            L= 123.090114
   B= .2507387             MOID= .149124           TP= 2005-Jan-01.0859943051
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= .0004463            RAD= 8.42               ROTPER= 5.27
   H= 10.41                G= .460                 B-V= .921
                           ALBEDO= .250            STYP= S

ASTEROID comments: 
1: soln ref.= JPL#659, OCC=0           radar( 4 delay, 2 Dop.)
2: source=ORB
*******************************************************************************

  

*******************************************************************************
Ephemeris / WWW_USER Mon May 20 07:59:48 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 433 Eros (A898 PA)              {source: JPL#659}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2200-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar month
*******************************************************************************
Target pole/equ : IAU                             {East-longitude positive}
Target radii    : 17.0, 5.5, 5.5 km               {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240517.p240810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-17. PREDICTS-> 2024-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453311.5 ! 2004-Nov-02.00 (TDB)         Residual RMS= .3494         
   EC= .2228078944584026   QR= 1.133355399799004   TP= 2453371.5859943051      
   OM= 304.4010273379536   W=  178.665326776373    IN= 10.8291838260782        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 3.739742611161106E-01  Y= 9.771563321932180E-01  Z= 6.227690580154441E-01
  VX=-1.640089070798141E-02 VY= 3.657007337298757E-03 VZ=-8.820021479138533E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .0004463            RAD= 8.42               ROTPER= 5.27                
   H= 10.41                G= .460                 B-V= .921                   
                           ALBEDO= .250            STYP= S                     
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1900-Jan-01 00:00, , , 272.4050, -5.8810,   -0.04287,  149.3515,  164.3576750,
 1900-Feb-01 00:00, , , 284.2029, -3.8813,   -0.04090,  161.2776,  176.2809848,
 1900-Mar-01 00:00, , , 294.4348, -2.0030,   -0.03951,  171.6682,  186.6701739,
 1900-Apr-01 00:00, , , 305.5678,  0.1158,   -0.03836,  182.9994,  198.0009007,
 1900-May-01 00:00, , , 316.4036,  2.1744,   -0.03758,  194.0272,  209.0277811,
 1900-Jun-01 00:00, , , 327.9458,  4.2743,   -0.03711,  205.7422,  220.7407358,
 1900-Jul-01 00:00, , , 339.7467,  6.2319,   -0.03696,  217.6578,  232.6531348,
 1900-Aug-01 00:00, , , 352.9557,  8.0949,   -0.03711,  230.8988,  245.8895117,
 1900-Sep-01 00:00, , ,   7.6397,  9.6511,   -0.03760,  245.4930,  260.4793491,
 1900-Oct-01 00:00, , ,  23.7521, 10.6339,   -0.03837,  261.3850,  276.3682686,
 1900-Nov-01 00:00, , ,  42.9106, 10.7341,   -0.03935,  280.2102,  295.1915305,
 1900-Dec-01 00:00, , ,  64.2682,  9.4758,   -0.04020,  301.2706,  316.2507855,
 1901-Jan-01 00:00, , ,  89.1933,  6.3832,   -0.04042,  326.1448,  341.1233294,
 1901-Feb-01 00:00, , , 116.1547,  1.6777,   -0.03926,  353.4398,    8.4176194,
 1901-Mar-01 00:00, , , 140.9022, -3.0103,   -0.03676,   18.6178,   33.5967651,
 1901-Apr-01 00:00, , , 167.0756, -7.3156,   -0.03279,   45.0289,   60.0092737,
 1901-May-01 00:00, , , 190.0102, -9.8460,   -0.02853,   67.8412,   82.8229609,
 1901-Jun-01 00:00, , , 210.7872,-10.8082,   -0.02436,   88.2973,  103.2824680,
 1901-Jul-01 00:00, , , 228.2453,-10.5525,   -0.02079,  105.4476,  120.4380062,
 1901-Aug-01 00:00, , , 244.0269, -9.4975,   -0.01759,  121.0159,  136.0129239,
 1901-Sep-01 00:00, , , 258.0491, -7.9570,   -0.01483,  134.9525,  149.9571138,
 1901-Oct-01 00:00, , , 270.4015, -6.1959,   -0.01248,  147.3291,  162.3405711,
 1901-Nov-01 00:00, , , 282.3047, -4.2156,   -0.01030,  159.3403,  174.3583377,
 1901-Dec-01 00:00, , , 293.3111, -2.2120,   -0.00839,  170.5031,  185.5279851,
 1902-Jan-01 00:00, , , 304.4477, -0.0965,   -0.00653,  181.8284,  196.8609040,
 1902-Feb-01 00:00, , , 315.6233,  2.0302,   -0.00474,  193.1939,  208.2348224,
 1902-Mar-01 00:00, , , 325.9890,  3.9311,   -0.00312,  203.7102,  218.7590479,
 1902-Apr-01 00:00, , , 338.0544,  5.9685,   -0.00126,  215.8937,  230.9499602,
 1902-May-01 00:00, , , 350.6507,  7.8012,    0.00067,  228.5264,  243.5879294,
 1902-Jun-01 00:00, , ,   5.0407,  9.4214,    0.00286,  242.8412,  257.9061177,
 1902-Jul-01 00:00, , ,  20.7771, 10.5146,    0.00525,  258.3757,  273.4414638,
 1902-Aug-01 00:00, , ,  39.4554, 10.8044,    0.00807,  276.7317,  291.7965917,
 1902-Sep-01 00:00, , ,  61.0461,  9.7548,    0.01127,  297.9986,  313.0618459,
 1902-Oct-01 00:00, , ,  84.7613,  7.0423,    0.01461,  321.6115,  336.6727667,
 1902-Nov-01 00:00, , , 111.4750,  2.5544,    0.01793,  348.6001,    3.6596677,
 1902-Dec-01 00:00, , , 138.0301, -2.4804,    0.02054,   15.6213,   30.6794414,
 1903-Jan-01 00:00, , , 164.4202, -6.9378,    0.02233,   42.2918,   57.3475148,
 1903-Feb-01 00:00, , , 188.3863, -9.7159,    0.02332,   66.1647,   81.2173453,
