*******************************************************************************
 Revised: April 12, 2021               Jupiter                              599
 
 PHYSICAL DATA:
  Mass x 10^22 (g)      = 189818722 +- 8817 Density (g/cm^3)  = 1.3262 +- .0003
  Equat. radius (1 bar) = 71492+-4 km       Polar radius (km)     = 66854+-10
  Vol. Mean Radius (km) = 69911+-6          Flattening            = 0.06487
  Geometric Albedo      = 0.52              Rocky core mass (Mc/M)= 0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s    Sid. rot. rate (rad/s)= 0.00017585
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686531.900     GM 1-sigma (km^3/s^2) =  +- 1.2732
  Equ. grav, ge (m/s^2) = 24.79             Pol. grav, gp (m/s^2) =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70             Obliquity to orbit    =  3.13 deg
  Sidereal orbit period = 11.861982204 y    Sidereal orbit period = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d   Mean orbit speed, km/s= 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K          Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76             Hill's sphere rad. Rp = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May 20 07:53:17 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2200-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar month
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: jup365_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240517.p240810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-17. PREDICTS-> 2024-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1900-Jan-01 00:00, , , 235.9305,  0.9130,   -0.00006,  222.7406,  278.7288568,
 1900-Feb-01 00:00, , , 238.3357,  0.8730,   -0.00005,  225.4218,  281.1376179,
 1900-Mar-01 00:00, , , 240.5142,  0.8355,   -0.00005,  227.5686,  283.3201602,
 1900-Apr-01 00:00, , , 242.9332,  0.7924,   -0.00004,  230.0999,  285.7339940,
 1900-May-01 00:00, , , 245.2816,  0.7491,   -0.00003,  232.5822,  288.0769029,
 1900-Jun-01 00:00, , , 247.7162,  0.7030,   -0.00002,  234.7643,  290.5214637,
 1900-Jul-01 00:00, , , 250.0803,  0.6570,   -0.00002,  237.2415,  292.8841882,
 1900-Aug-01 00:00, , , 252.5317,  0.6081,   -0.00001,  240.0407,  295.3270481,
 1900-Sep-01 00:00, , , 254.9920,  0.5579,    0.00000,  242.3508,  297.7921955,
 1900-Oct-01 00:00, , , 257.3818,  0.5082,    0.00001,  244.6337,  300.1855032,
 1900-Nov-01 00:00, , , 259.8605,  0.4557,    0.00002,  247.1924,  302.6631990,
 1900-Dec-01 00:00, , , 262.2686,  0.4038,    0.00003,  249.7770,  305.0644593,
 1901-Jan-01 00:00, , , 264.7668,  0.3493,    0.00004,  252.1569,  307.5674853,
 1901-Feb-01 00:00, , , 267.2751,  0.2939,    0.00005,  254.6487,  310.0773934,
 1901-Mar-01 00:00, , , 269.5497,  0.2431,    0.00006,  256.9913,  312.3528329,
 1901-Apr-01 00:00, , , 272.0780,  0.1863,    0.00007,  259.5050,  314.8828957,
 1901-May-01 00:00, , , 274.5351,  0.1307,    0.00008,  261.9492,  317.3381712,
 1901-Jun-01 00:00, , , 277.0847,  0.0728,    0.00009,  264.5330,  319.8853209,
 1901-Jul-01 00:00, , , 279.5627,  0.0163,    0.00009,  267.2144,  322.3642466,
 1901-Aug-01 00:00, , , 282.1342, -0.0423,    0.00010,  269.6987,  324.9386276,
 1901-Sep-01 00:00, , , 284.7170, -0.1011,    0.00011,  272.4417,  327.5174882,
 1901-Oct-01 00:00, , , 287.2273, -0.1580,    0.00013,  274.7472,  330.0316530,
 1901-Nov-01 00:00, , , 289.8324, -0.2168,    0.00014,  277.0784,  332.6403227,
 1901-Dec-01 00:00, , , 292.3644, -0.2735,    0.00015,  279.9203,  335.1682351,
 1902-Jan-01 00:00, , , 294.9920, -0.3318,    0.00016,  282.6353,  337.7949509,
 1902-Feb-01 00:00, , , 297.6310, -0.3896,    0.00017,  284.8656,  340.4384170,
 1902-Mar-01 00:00, , , 300.0244, -0.4413,    0.00018,  287.2071,  342.8315202,
 1902-Apr-01 00:00, , , 302.6850, -0.4979,    0.00019,  290.2869,  345.4906091,
 1902-May-01 00:00, , , 305.2705, -0.5518,    0.00020,  292.8338,  348.0760863,
 1902-Jun-01 00:00, , , 307.9531, -0.6066,    0.00021,  295.3008,  350.7591911,
 1902-Jul-01 00:00, , , 310.5596, -0.6586,    0.00022,  297.8295,  353.3663985,
 1902-Aug-01 00:00, , , 313.2635, -0.7111,    0.00023,  300.7488,  356.0700269,
 1902-Sep-01 00:00, , , 315.9780, -0.7621,    0.00024,  303.2728,  358.7846345,
