*******************************************************************************
 Revised: April 22, 2021              Neptune                               899
 
 PHYSICAL DATA (update 2021-May-03):
  Mass x10^24 (kg)      = 102.409         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.97      GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May 20 07:50:47 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep102_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1880-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2200-Jan-01 00:00:00.0000 UT      
Step-size       : 6 calendar months
*******************************************************************************
Target pole/equ : IAU_NEPTUNE                     {West-longitude positive}
Target radii    : 24764.0, 24764.0, 24341.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240517.p240810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-17. PREDICTS-> 2024-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1880-Jan-01 00:00, , ,  42.6796, -1.7696,    0.00010,    5.8867,  357.8499179,
 1880-Jul-01 00:00, , ,  43.7897, -1.7687,    0.00005,    5.1190,  358.9587681,
 1881-Jan-01 00:00, , ,  44.9124, -1.7671,    0.00000,    2.6148,    0.0805611,
 1881-Jul-01 00:00, , ,  46.0170, -1.7648,   -0.00004,    1.7435,    1.1840439,
 1882-Jan-01 00:00, , ,  47.1400, -1.7619,   -0.00007,  359.9691,    2.3062769,
 1882-Jul-01 00:00, , ,  48.2445, -1.7584,   -0.00010,  358.2289,    3.4094199,
 1883-Jan-01 00:00, , ,  49.3671, -1.7541,   -0.00011,  356.8882,    4.5310159,
 1883-Jul-01 00:00, , ,  50.4710, -1.7493,   -0.00011,  355.9505,    5.6336194,
 1884-Jan-01 00:00, , ,  51.5926, -1.7438,   -0.00011,  355.2003,    6.7548580,
 1884-Jul-01 00:00, , ,  52.7015, -1.7376,   -0.00009,  354.0527,    7.8607652,
 1885-Jan-01 00:00, , ,  53.8219, -1.7308,   -0.00007,  354.9963,    8.9816443,
 1885-Jul-01 00:00, , ,  54.9235, -1.7234,   -0.00004,  354.9748,   10.0818372,
 1886-Jan-01 00:00, , ,  56.0427, -1.7153,   -0.00001,  356.6748,   11.1989027,
 1886-Jul-01 00:00, , ,  57.1431, -1.7066,    0.00002,    0.0247,   12.2992028,
 1887-Jan-01 00:00, , ,  58.2613, -1.6972,    0.00005,    4.1923,   13.4159737,
 1887-Jul-01 00:00, , ,  59.3608, -1.6873,    0.00008,    9.3673,   14.5142964,
 1888-Jan-01 00:00, , ,  60.4782, -1.6766,    0.00010,   16.3674,   15.6290753,
 1888-Jul-01 00:00, , ,  61.5832, -1.6653,    0.00011,   22.9636,   16.7374403,
 1889-Jan-01 00:00, , ,  62.7002, -1.6533,    0.00012,   26.6623,   17.8488088,
 1889-Jul-01 00:00, , ,  63.7991, -1.6409,    0.00011,   32.6906,   18.9489083,
 1890-Jan-01 00:00, , ,  64.9163, -1.6277,    0.00009,   32.3001,   20.0652070,
 1890-Jul-01 00:00, , ,  66.0154, -1.6140,    0.00007,   32.6848,   21.1626853,
 1891-Jan-01 00:00, , ,  67.1332, -1.5995,    0.00004,   30.7484,   22.2788414,
 1891-Jul-01 00:00, , ,  68.2331, -1.5847,    0.00000,   29.7964,   23.3792014,
 1892-Jan-01 00:00, , ,  69.3516, -1.5689,   -0.00004,   26.3072,   24.4973060,
 1892-Jul-01 00:00, , ,  70.4584, -1.5528,   -0.00009,   24.9796,   25.5971502,
 1893-Jan-01 00:00, , ,  71.5777, -1.5359,   -0.00012,   22.4864,   26.7221629,
 1893-Jul-01 00:00, , ,  72.6790, -1.5187,   -0.00015,   19.8144,   27.8174379,
 1894-Jan-01 00:00, , ,  73.7986, -1.5006,   -0.00018,   18.3321,   28.9366725,
 1894-Jul-01 00:00, , ,  74.8998, -1.4823,   -0.00018,   17.0026,   30.0361243,
 1895-Jan-01 00:00, , ,  76.0190, -1.4632,   -0.00018,   15.9753,   31.1555060,
 1895-Jul-01 00:00, , ,  77.1196, -1.4438,   -0.00017,   14.9337,   32.2501468,
