*******************************************************************************
 Revised: Apr 03, 2024              134340 Pluto                            999
 
 Pre-computed solution PLU060/DE440. Fit to post New Horizons encounter and
 Gaia data through 2023. For discussion, see ...

 M. Brozovic, R. A. Jacobson (2024) "Post-New Horizons orbits and masses
 for the satellites of Pluto". AJ (in press)

 PHYSICAL DATA (updated 2021-Jun-07; Mc= Charon mass, radius is IAU 2015):
  Mass x10^22 (kg)      = 1.307+-0.018    Volume, 10^10 km^3    = 0.697
  GM (planet) km^3/s^2  = 869.326         Density (R=1195 km)   = 1.86 g/cm^3
  GM 1-sigma, km^3/s^2  = 0.4             Surface gravity       = 0.611 m/s^2 
  Vol. mean radius (km) = 1188.3+-1.6     Mass ratio (Mc/Mp)    = 0.122
  Sidereal rot. period  = 153.29335198 h  Sid. rot. rat, rad/s  = 0.0000113856
  Mean solar day, h     = 153.2820        Mean orbit velocity   = 4.67 km/s
  Sidereal orbit period = 249.58932 yr    Escape speed, km/s    = 1.21            
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.56        0.56        0.88
  Maximum Planetary IR (W/m^2)   0.8         0.3         0.5
  Minimum Planetary IR (W/m^2)   0.8         0.3         0.5
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon May 20 07:51:50 2024 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu060_merged}
Center body name: Sun (10)                        {source: plu060_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1880-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2199-Jul-01 00:00:00.0000 UT      
Step-size       : 1 calendar year
*******************************************************************************
Target pole/equ : IAU_PLUTO                       {East-longitude positive}
Target radii    : 1188.3, 1188.3, 1188.3 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -695700.0             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: plu060_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.240517.p240810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAY-17. PREDICTS-> 2024-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1880-Jan-01 00:00, , ,  58.2078,-13.6770,   -0.00235,  191.2692,  197.4336124,
 1881-Jan-01 00:00, , ,  59.1406,-13.5082,   -0.00249,  194.0170,  198.2910764,
 1882-Jan-01 00:00, , ,  60.0729,-13.3363,   -0.00216,  196.2887,  199.2409961,
 1883-Jan-01 00:00, , ,  61.0066,-13.1609,   -0.00138,  197.6120,  200.2172891,
 1884-Jan-01 00:00, , ,  61.9407,-12.9820,   -0.00039,  197.7451,  201.1781597,
 1885-Jan-01 00:00, , ,  62.8776,-12.7989,    0.00051,  196.9136,  202.0329626,
 1886-Jan-01 00:00, , ,  63.8120,-12.6125,    0.00119,  198.1960,  202.9165853,
 1887-Jan-01 00:00, , ,  64.7468,-12.4221,    0.00155,  199.9590,  203.8511804,
 1888-Jan-01 00:00, , ,  65.6824,-12.2277,    0.00153,  201.4594,  204.8418154,
 1889-Jan-01 00:00, , ,  66.6223,-12.0285,    0.00113,  200.9006,  205.8826927,
 1890-Jan-01 00:00, , ,  67.5619,-11.8256,    0.00046,  200.6017,  206.7896318,
 1891-Jan-01 00:00, , ,  68.5049,-11.6186,   -0.00021,  201.3397,  207.6608899,
 1892-Jan-01 00:00, , ,  69.4520,-11.4076,   -0.00067,  203.3125,  208.5549571,
 1893-Jan-01 00:00, , ,  70.4058,-11.1921,   -0.00075,  206.7819,  209.5938155,
 1894-Jan-01 00:00, , ,  71.3610,-10.9733,   -0.00036,  207.7150,  210.6206377,
 1895-Jan-01 00:00, , ,  72.3195,-10.7508,    0.00036,  207.5799,  211.5996791,
 1896-Jan-01 00:00, , ,  73.2806,-10.5245,    0.00116,  207.4156,  212.5150428,
 1897-Jan-01 00:00, , ,  74.2465,-10.2937,    0.00180,  209.2137,  213.3645233,
 1898-Jan-01 00:00, , ,  75.2120,-10.0595,    0.00220,  211.1689,  214.3843272,
 1899-Jan-01 00:00, , ,  76.1798, -9.8211,    0.00221,  212.3309,  215.4620967,
 1900-Jan-01 00:00, , ,  77.1507, -9.5785,    0.00176,  212.2452,  216.5310712,
 1901-Jan-01 00:00, , ,  78.1252, -9.3314,    0.00092,  211.5545,  217.5295230,
 1902-Jan-01 00:00, , ,  79.1044, -9.0800,   -0.00010,  211.4544,  218.4530311,
 1903-Jan-01 00:00, , ,  80.0892, -8.8242,   -0.00107,  212.7655,  219.3607302,
 1904-Jan-01 00:00, , ,  81.0805, -8.5640,   -0.00176,  215.4233,  220.3283011,
 1905-Jan-01 00:00, , ,  82.0814, -8.2989,   -0.00206,  218.8488,  221.5012226,
 1906-Jan-01 00:00, , ,  83.0864, -8.0303,   -0.00179,  219.3511,  222.5902285,
 1907-Jan-01 00:00, , ,  84.0976, -7.7576,   -0.00112,  219.0720,  223.6025571,
 1908-Jan-01 00:00, , ,  85.1143, -7.4809,   -0.00031,  219.2314,  224.5519809,
 1909-Jan-01 00:00, , ,  86.1389, -7.1992,    0.00040,  222.2158,  225.4961449,
